 ,0:<init>,0:main,0:bubbleSort,1:<init>,1:main,1:buketSort,2:<init>,2:main,2:filter,3:<init>,3:main,3:heapSort,3:insert,3:deletemin,4:<init>,4:main,4:heapSort,4:deletemin,4:insert,5:<init>,5:main,5:insertionSort,6:<init>,6:main,6:mergeSort,7:<init>,7:main,7:quickSort,8:<init>,8:main,8:selectionSort,9:<init>,9:main,9:shellSort,10:<init>,10:main,10:shellSort,10:insertionSort,11:<init>,11:main,11:change
3:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
3:heapSort,43.0,58.0,155.0,43.0,58.0,82.0,43.0,58.0,43.0,43.0,58.0,0.0,76.0,112.0,43.0,58.0,0.0,112.0,76.0,43.0,58.0,118.0,43.0,57.0,213.0,43.0,62.0,140.0,43.0,58.0,135.0,43.0,58.0,444.0,43.0,58.0,50.0,118.0,43.0,58.0,43.0
3:insert,98.0,91.0,133.0,98.0,91.0,64.0,98.0,91.0,66.0,98.0,91.0,76.0,0.0,64.0,98.0,91.0,76.0,64.0,0.0,98.0,91.0,106.0,98.0,91.0,190.0,98.0,91.0,118.0,98.0,91.0,126.0,98.0,91.0,425.0,98.0,91.0,54.0,106.0,98.0,91.0,58.0
3:deletemin,136.0,129.0,136.0,136.0,129.0,80.0,136.0,129.0,99.0,136.0,129.0,112.0,64.0,0.0,136.0,129.0,112.0,0.0,64.0,136.0,129.0,111.0,136.0,129.0,179.0,136.0,128.0,119.0,136.0,129.0,121.0,136.0,129.0,418.0,136.0,129.0,82.0,111.0,136.0,129.0,91.0
4:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
4:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
4:heapSort,43.0,58.0,155.0,43.0,58.0,82.0,43.0,58.0,43.0,43.0,58.0,0.0,76.0,112.0,43.0,58.0,0.0,112.0,76.0,43.0,58.0,118.0,43.0,57.0,213.0,43.0,62.0,140.0,43.0,58.0,135.0,43.0,58.0,444.0,43.0,58.0,50.0,118.0,43.0,58.0,43.0
4:deletemin,136.0,129.0,136.0,136.0,129.0,80.0,136.0,129.0,99.0,136.0,129.0,112.0,64.0,0.0,136.0,129.0,112.0,0.0,64.0,136.0,129.0,111.0,136.0,129.0,179.0,136.0,128.0,119.0,136.0,129.0,121.0,136.0,129.0,418.0,136.0,129.0,82.0,111.0,136.0,129.0,91.0
4:insert,98.0,91.0,133.0,98.0,91.0,64.0,98.0,91.0,66.0,98.0,91.0,76.0,0.0,64.0,98.0,91.0,76.0,64.0,0.0,98.0,91.0,106.0,98.0,91.0,190.0,98.0,91.0,118.0,98.0,91.0,126.0,98.0,91.0,425.0,98.0,91.0,54.0,106.0,98.0,91.0,58.0
5:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
5:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
5:insertionSort,141.0,146.0,59.0,141.0,146.0,103.0,141.0,146.0,109.0,141.0,146.0,118.0,106.0,111.0,141.0,146.0,118.0,111.0,106.0,141.0,146.0,0.0,141.0,145.0,122.0,141.0,149.0,47.0,141.0,146.0,38.0,141.0,146.0,347.0,141.0,146.0,90.0,0.0,141.0,146.0,92.0
6:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
6:main,45.0,1.0,175.0,45.0,1.0,103.0,45.0,1.0,69.0,45.0,1.0,57.0,91.0,129.0,45.0,1.0,57.0,129.0,91.0,45.0,1.0,145.0,45.0,0.0,236.0,45.0,5.0,160.0,45.0,1.0,161.0,45.0,1.0,470.0,45.0,1.0,89.0,145.0,45.0,1.0,73.0
6:mergeSort,241.0,236.0,96.0,241.0,236.0,173.0,241.0,236.0,203.0,241.0,236.0,213.0,190.0,179.0,241.0,236.0,213.0,179.0,190.0,241.0,236.0,122.0,241.0,236.0,0.0,241.0,237.0,110.0,241.0,236.0,107.0,241.0,236.0,337.0,241.0,236.0,185.0,122.0,241.0,236.0,200.0
7:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
7:main,50.0,6.0,178.0,50.0,6.0,103.0,50.0,6.0,74.0,50.0,6.0,62.0,91.0,128.0,50.0,6.0,62.0,128.0,91.0,50.0,6.0,149.0,50.0,5.0,237.0,50.0,0.0,160.0,50.0,6.0,165.0,50.0,6.0,469.0,50.0,6.0,94.0,149.0,50.0,6.0,76.0
7:quickSort,162.0,160.0,75.0,162.0,160.0,114.0,162.0,160.0,131.0,162.0,160.0,140.0,118.0,119.0,162.0,160.0,140.0,119.0,118.0,162.0,160.0,47.0,162.0,160.0,110.0,162.0,160.0,0.0,162.0,160.0,55.0,162.0,160.0,353.0,162.0,160.0,111.0,47.0,162.0,160.0,123.0
8:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
8:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
8:selectionSort,161.0,162.0,42.0,161.0,162.0,115.0,161.0,162.0,126.0,161.0,162.0,135.0,126.0,121.0,161.0,162.0,135.0,121.0,126.0,161.0,162.0,38.0,161.0,161.0,107.0,161.0,165.0,55.0,161.0,162.0,0.0,161.0,162.0,335.0,161.0,162.0,109.0,38.0,161.0,162.0,115.0
9:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
9:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
9:shellSort,472.0,470.0,326.0,472.0,470.0,417.0,472.0,470.0,434.0,472.0,470.0,444.0,425.0,418.0,472.0,470.0,444.0,418.0,425.0,472.0,470.0,347.0,472.0,470.0,337.0,472.0,469.0,353.0,472.0,470.0,335.0,472.0,470.0,0.0,472.0,470.0,406.0,347.0,472.0,470.0,424.0
10:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
10:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
10:shellSort,68.0,90.0,124.0,68.0,90.0,59.0,68.0,90.0,56.0,68.0,90.0,50.0,54.0,82.0,68.0,90.0,50.0,82.0,54.0,68.0,90.0,90.0,68.0,89.0,185.0,68.0,94.0,111.0,68.0,90.0,109.0,68.0,90.0,406.0,68.0,90.0,0.0,90.0,68.0,90.0,44.0
10:insertionSort,141.0,146.0,59.0,141.0,146.0,103.0,141.0,146.0,109.0,141.0,146.0,118.0,106.0,111.0,141.0,146.0,118.0,111.0,106.0,141.0,146.0,0.0,141.0,145.0,122.0,141.0,149.0,47.0,141.0,146.0,38.0,141.0,146.0,347.0,141.0,146.0,90.0,0.0,141.0,146.0,92.0
11:<init>,0.0,46.0,177.0,0.0,46.0,112.0,0.0,46.0,67.0,0.0,46.0,43.0,98.0,136.0,0.0,46.0,43.0,136.0,98.0,0.0,46.0,141.0,0.0,45.0,241.0,0.0,50.0,162.0,0.0,46.0,161.0,0.0,46.0,472.0,0.0,46.0,68.0,141.0,0.0,46.0,65.0
11:main,46.0,0.0,176.0,46.0,0.0,103.0,46.0,0.0,70.0,46.0,0.0,58.0,91.0,129.0,46.0,0.0,58.0,129.0,91.0,46.0,0.0,146.0,46.0,1.0,236.0,46.0,6.0,160.0,46.0,0.0,162.0,46.0,0.0,470.0,46.0,0.0,90.0,146.0,46.0,0.0,73.0
11:change,65.0,73.0,128.0,65.0,73.0,70.0,65.0,73.0,35.0,65.0,73.0,43.0,58.0,91.0,65.0,73.0,43.0,91.0,58.0,65.0,73.0,92.0,65.0,73.0,200.0,65.0,76.0,123.0,65.0,73.0,115.0,65.0,73.0,424.0,65.0,73.0,44.0,92.0,65.0,73.0,0.0
